--------x264--------
nuaf version
!!!nuaf is running!!!
!!!nuaf is running!!!
[58.4%] 299/512 frames, 1.13 fps, 12894.49 kb/s, eta 0:03:08  
[58.6%] 300/512 frames, 1.13 fps, 12863.56 kb/s, eta 0:03:06  
[58.8%] 301/512 frames, 1.14 fps, 12832.01 kb/s, eta 0:03:05  
[59.0%] 302/512 frames, 1.14 fps, 12808.76 kb/s, eta 0:03:04  
[59.2%] 303/512 frames, 1.14 fps, 12776.76 kb/s, eta 0:03:03  
[59.4%] 304/512 frames, 1.14 fps, 12742.78 kb/s, eta 0:03:02  
[59.6%] 305/512 frames, 1.14 fps, 12710.55 kb/s, eta 0:03:01  
[59.8%] 306/512 frames, 1.15 fps, 12687.70 kb/s, eta 0:02:59  
[60.0%] 307/512 frames, 1.15 fps, 12663.09 kb/s, eta 0:02:58  
[60.2%] 308/512 frames, 1.15 fps, 12634.08 kb/s, eta 0:02:57  
[60.4%] 309/512 frames, 1.15 fps, 12605.48 kb/s, eta 0:02:56  
[60.5%] 310/512 frames, 1.15 fps, 12589.54 kb/s, eta 0:02:55  
[60.7%] 311/512 frames, 1.15 fps, 12563.29 kb/s, eta 0:02:54  
[60.9%] 312/512 frames, 1.15 fps, 12534.44 kb/s, eta 0:02:53  
[61.1%] 313/512 frames, 1.16 fps, 12506.67 kb/s, eta 0:02:52  
[61.3%] 314/512 frames, 1.16 fps, 12488.33 kb/s, eta 0:02:51  
[61.5%] 315/512 frames, 1.16 fps, 12609.74 kb/s, eta 0:02:49  
[61.7%] 316/512 frames, 1.16 fps, 12689.55 kb/s, eta 0:02:48  
[61.9%] 317/512 frames, 1.16 fps, 12736.18 kb/s, eta 0:02:48  
[62.1%] 318/512 frames, 1.15 fps, 12763.50 kb/s, eta 0:02:48  
[62.3%] 319/512 frames, 1.15 fps, 12790.29 kb/s, eta 0:02:48  
[62.5%] 320/512 frames, 1.15 fps, 12868.13 kb/s, eta 0:02:47  
[62.7%] 321/512 frames, 1.14 fps, 12914.97 kb/s, eta 0:02:47  
[62.9%] 322/512 frames, 1.13 fps, 12941.84 kb/s, eta 0:02:47  
[63.1%] 323/512 frames, 1.13 fps, 12969.26 kb/s, eta 0:02:47  
